Time,Values[Absorbance_0.59],Values[Absorbance_1.53],Values[Absorbance_6.6],Values[Absorbance_500],[sGC{[NO]=0.59}],[6C-sGC-NO{[NO]=0.59}],[5C-sGC-NO{[NO]=0.59}],[NO{[NO]=0.59}],[sGC{[NO]=1.53}],[6C-sGC-NO{[NO]=1.53}],[5C-sGC-NO{[NO]=1.53}],[NO{[NO]=1.53}],[sGC{[NO]=6.6}],[6C-sGC-NO{[NO]=6.6}],[5C-sGC-NO{[NO]=6.6}],[NO{[NO]=6.6}],[sGC{[NO]=500}],[6C-sGC-NO{[NO]=500}],[5C-sGC-NO{[NO]=500}],[NO{[NO]=500}]
4.55393e-05,0.0581669,0.0579877,0.0570411,0.0317703,4.6805e-07,1.95004e-09,8.65894e-15,5.8805e-07,4.6496e-07,5.04017e-09,5.80098e-14,1.52496e-06,4.48641e-07,2.13584e-08,1.06594e-12,6.57864e-06,1.38163e-08,4.53634e-07,2.55016e-09,0.000499544
4.81624e-05,0.0581604,0.057971,0.0569716,0.0316191,4.67938e-07,2.06192e-09,9.68258e-15,5.87938e-07,4.64672e-07,5.32833e-09,6.48594e-14,1.52467e-06,4.47442e-07,2.25565e-08,1.191e-12,6.57744e-06,1.12768e-08,4.55976e-07,2.74684e-09,0.000499541
5.07855e-05,0.0581539,0.0579543,0.0569023,0.0314949,4.67826e-07,2.17376e-09,1.07631e-14,5.87826e-07,4.64384e-07,5.61626e-09,7.20882e-14,1.52438e-06,4.46247e-07,2.37513e-08,1.32285e-12,6.57625e-06,9.20405e-09,4.57852e-07,2.94443e-09,0.000499539
5.34086e-05,0.0581474,0.0579376,0.0568332,0.0313929,4.67714e-07,2.28554e-09,1.19004e-14,5.87714e-07,4.64096e-07,5.90395e-09,7.96957e-14,1.5241e-06,4.45056e-07,2.49426e-08,1.46147e-12,6.57506e-06,7.51231e-09,4.59345e-07,3.14274e-09,0.000499538
5.60316e-05,0.058141,0.0579209,0.0567643,0.0313088,4.67603e-07,2.39728e-09,1.30945e-14,5.87603e-07,4.63809e-07,6.19141e-09,8.76815e-14,1.52381e-06,4.43868e-07,2.61305e-08,1.60683e-12,6.57387e-06,6.13153e-09,4.60527e-07,3.34164e-09,0.000499536
5.86547e-05,0.0581345,0.0579042,0.0566956,0.0312394,4.67491e-07,2.50896e-09,1.43454e-14,5.87491e-07,4.63521e-07,6.47864e-09,9.60452e-14,1.52352e-06,4.42683e-07,2.7315e-08,1.75892e-12,6.57268e-06,5.00454e-09,4.61454e-07,3.54098e-09,0.000499535
6.12778e-05,0.058128,0.0578876,0.0566271,0.0311821,4.67379e-07,2.6206e-09,1.56529e-14,5.87379e-07,4.63234e-07,6.76563e-09,1.04786e-13,1.52323e-06,4.41502e-07,2.84962e-08,1.91771e-12,6.5715e-06,4.0847e-09,4.62175e-07,3.74068e-09,0.000499534
6.39009e-05,0.0581215,0.057871,0.0565587,0.0311346,4.67268e-07,2.7322e-09,1.70171e-14,5.87268e-07,4.62947e-07,7.05239e-09,1.13904e-13,1.52295e-06,4.40324e-07,2.96739e-08,2.08318e-12,6.57032e-06,3.33393e-09,4.62725e-07,3.94065e-09,0.000499533
6.6524e-05,0.0581151,0.0578543,0.0564906,0.031095,4.67156e-07,2.84374e-09,1.84379e-14,5.87156e-07,4.62661e-07,7.33892e-09,1.23399e-13,1.52266e-06,4.39149e-07,3.08484e-08,2.25531e-12,6.56915e-06,2.72115e-09,4.63138e-07,4.14083e-09,0.000499533
6.91471e-05,0.0581086,0.0578377,0.0564227,0.031062,4.67045e-07,2.95524e-09,1.99153e-14,5.87045e-07,4.62375e-07,7.62522e-09,1.33269e-13,1.52237e-06,4.37978e-07,3.20194e-08,2.43408e-12,6.56798e-06,2.22101e-09,4.63438e-07,4.34116e-09,0.000499532
7.17702e-05,0.0581021,0.0578211,0.0563549,0.0310343,4.66933e-07,3.06669e-09,2.14491e-14,5.86933e-07,4.62089e-07,7.91129e-09,1.43516e-13,1.52209e-06,4.3681e-07,3.31871e-08,2.61947e-12,6.56681e-06,1.81279e-09,4.63646e-07,4.5416e-09,0.000499532
7.43933e-05,0.0580957,0.0578046,0.0562874,0.031011,4.66822e-07,3.17809e-09,2.30394e-14,5.86822e-07,4.61803e-07,8.19713e-09,1.54137e-13,1.5218e-06,4.35646e-07,3.43515e-08,2.81146e-12,6.56565e-06,1.47961e-09,4.63778e-07,4.74212e-09,0.000499531
